title,bedrooms,price,location,post_time
LARGE NEW 3 BEDROOM 2 BATHROOMS. HASA WELCOME,,"$3,200",bronx,1/13
3 Bed 2 bath MARIA Hernandez 2 blocks away 💙NO FEE💙,,"$3,200",bushwick,1/13
2 Bed 1 Bath PH + MASSIVE Private Roofdeck,,"$3,500",bedstuy/bushwick,1/13
2 Bed 1 Bath NO FEE,,"$2,500",crownheights,1/13
impressive 2-bedroom NO FEE,,"$2,800",bushwick,1/13
"*Bushwick Spacious 1BR APT! Great Price, Must See!",,"$2,580",bushwick,1/13
Large Townhouse in a Central Location,,"$4,000",forest hills,1/13
Massive Brownstone unit on parlor flr 😍😍,,"$1,850","bed stuy, brooklyn",1/13
All New Charming Spacious Apt in a Great Location,,"$3,250",rego park,1/13
Beautiful Spacious Apt,,"$2,600",rego park,1/13
Lovely 2 Bedrooms Apartment in a multi family house,,"$2,300",forest hills,1/13
A Great House w/ A Greater Price,,"$3,300",kew garden hills,1/13
Move-in Ready One Bedroom Apt W/D in unit,,"$1,989",rego park,1/13
SPACIOUS SUN FLOODED EV STUDIO OASIS + W/D IN UNIT___A STEAL!,,"$2,995",east village,1/13
Apartment for rent,,"$2,050",maspeth,1/13
😍Lovely 2.5 br unit on 🤫block,,"$2,495","cypress hills, brooklyn",1/13
1 & 2 BED ROOMS BRAND NEW LUXURY,,"$3,000",brooklyn,1/13
"DUPLEX, SHARED YARD, 2.5 Baths 4 Bed Laundry in Building",,"$3,795","ridgewood, queens",1/13
NO fee 3 BR apt for rent by owner,,"$2,200",flushing/college point/whitestone,1/13
PRIME WILLIAMSBURG HUGE 2BR SUPER SUNNY KING SIZED PRE WAR CALL ASAP,,"$3,299",brooklyn,1/13
1 Bed near Prospect Park! No Broker Fee!,,"$2,050",prospect lefferts gardens,1/13
BALCONY * LUXURY ELEVATOR BUILDING * CAR PARKING * GYM_FURNISHED ROOF,,"$2,750",2 & 5 trains @church ave | b & q trains,1/13
FULL LIVING ROOM WITH WINDOWS * LUXURY ELEVATOR BUILDING W GYM!,,"$2,850",clinton hills / forte greene @g train,1/13
PRIVATE BACKYARD * DUPLEX APARTMENT * HUGE FINISHED BASEMENT SPACE *,,"$4,000",wyckoff ave @l train jefferson / morgan,1/13
IN UNIT WASHER DRYER * CENTRAL AIR & HEAT * HARDWOOD FLOORS *,,"$3,200",j m z myrtle broadway | g train myrtle willoughby ave,1/13
PRIVATE DECK * RENOVATED HOUSE * WINDOWS * CENTRAL AIR & HEAT *,,"$3,200",j m z myrtle broadway | g train myrtle willoughby ave,1/13
HUGE PRE WAR * WINDOWS IN THE LIVING ROOM * SEPARATE KITCHEN & LIVING,,"$1,892","n, q, r & w trains * borough park *",1/13
HUGE RAILROAD * MULTIPLE ROOMS * WINDOWS IN KITCHEN_BACKYARD & LAUNDRY,,"$3,000","downtown brooklyn * a, c, f, r, 2, 3, 4, 5",1/13
Bedroom Apt**Hot water included,,"$1,995",n.e/ bronx,1/13
3 WALLS OF WINDOWS * CORNER APT * LOTS OF SUNLIGHT * CENTRAL AIR/HEAT,,"$2,100",utica ave * a c & 2 3 4 5,1/13
IN UNIT WASHER DRYER * DISHWASHER * CENTRAL A/C * ROOFTOP ACCESS,,"$2,400","prospect park @a, c, s, 2, 3, 4, 5 trains",1/13
3 WALLS OF WINDOWS * CORNER APT * LOTS OF SUNLIGHT * CENTRAL AIR/HEAT,,"$2,100",utica ave * a c & 2 3 4 5,1/13
"LIVING ROOM WITH WINDOWS * GREAT CLOSET SPACE_ROOFTOP, YARD & LAUNDRY",,"$2,500",a c trains@kingston-throop avs stop,1/13
PENTHOUSE * DIRECT ROOFTOP ACCESS * KITCHEN W ISLAND * DISHWASHER *,,"$3,000",2 & 5 trains * kings county hospital,1/13
KING SIZED ROOMS * DUPLEX 1ST & 2ND FLOOR * NO BASEMENT * BACKYARD,,"$3,400",a c trains @kingston-throop avs stop,1/13
RENT STABILIZED * BALCONY * WINDOWS IN THE LIVING ROOM * DISHWASHER *,,"$2,480",j train,1/13
FURNISHED ROOFTOP * BACKYARD * LAUNDRY * BALCONY APT * DISHWASHER *,,"$3,400",myrtle broadway j m z trains,1/13
PRIVATE BACKYARD * OLDER 3 BEDROOM * OWNER LOOKING FOR OVER 700 CREDIT,,"$2,450","a, c, j, z trains",1/13
2 KINGS SIZED BEDROOMS * 3RD HUGE OFFICE ROOM * BALCONY * DISHWASHER *,,"$3,500",prospect park @a c s 2 3 4 5 trains,1/13
1 BR. APARTMENT CLOSE TO ALL TRANSPORTATION!,,"$1,650","woodside, sunnyside, jackson heights, corona",1/13
GIGANTIC LIVING ROOM WITH CORNER WINDOWS * 1.5 BATHS * CENTRAL A/C *,,"$2,250",2 & 5 trains @baverly rd,1/13
WINDOWS IN THE LIVING ROOM * ENTIRE 2ND FLOOR OF A 3 STORY HOUSE *,,"$2,400","2, 3, 4 & 5 trains * baverly rd *",1/13
CONVERTED FACTORY INDUSTRIAL LOFT * SPACE * HUGE WINDOWS *,,"$5,700",bushwick @j train,1/13
