title,bedrooms,price,location,post_time
SLEEK 3 Bed 1 Bath + Balcony  ***NO FEE***,,"$2,850",flatbush,1/15
Spacious 2 Bed in prime location!!,,"$2,700",bed stuyvesant heights,1/15
BACK ON THE MARKET!! 3 BED 2 BATH w/d in unit,,"$3,150",brooklyn,1/15
Spacious 3 Bed 2 Bath NO FEE,,"$2,900",brooklyn,1/15
PRIME EAST WILLIAMSBURG MORGANTOWN FLEXED LOFT CALL ASAP,,"$3,699",brooklyn,1/15
2 BEDROOM IN APT BUILDING NEAR SUBWAYS,,"$2,250",richmond hill,1/15
PRIME EAST WILLIAMSBURG MORGANTOWN FLEXED LOFT CALL ASAP,,"$3,699",brooklyn,1/15
No Fee * Renovated 1 Bed 1 Bath in Astoria *Elevator & Laundry in Buil,,"$2,675",astoria,1/15
PRIME EAST WILLIAMSBURG MORGANTOWN CORNER UNIT LOFT HUGE CALL ASAP,,"$5,500",brooklyn,1/15
Large sunny 6th floor 1bed+a/c+dishwasher+private balcony+elevator+,,"$2,800",prospect/crown heights @ franklin a/c/2/3/4/5/s,1/15
NO FEE-SPACIOUS MODERN 1 BEDROOM IN APT BUILDING NEAR #7 TRAIN,,"$1,775",flushing,1/15
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,,"$2,500",flatbush,1/15
🌟Massive Crown Heights 3 bed 2 bath! $3250!,,"$3,250",crown heights,1/15
Stunning studio right by Brooklyn college!,,"$1,395",brooklyn,1/15
