title,bedrooms,price,location,post_time
This is a renovated 1.5bedroom apt (WITH BACKYARD)in Yonkers ny.,,"$1,750",bruce av,1/16
HASA 3 Bedroom Apt for Rent,,"$3,084",bushwick,1/16
No fee- Spacious 1 Bed/1.5 duplex- Greenpoint,,"$4,000",brooklyn,1/16
1 Bedroom - Ready to move in!!,,"$1,800",sunnyside,1/15
1 BEDROOM - Easy approval process!!!,,"$1,800",sunnyside,1/15
"1 BEDROOM - No credit, no problem!!!",,"$1,800",sunnyside,1/15
Charming Studio In Elegant Prewar Building W/ Courtyard,,"$2,300",brooklyn heights,1/15
Cozy Lower Level,,"$1,375",franklin square,1/15
1.5 BR_WASHER/DRYER/GARAGE/OUTDOOR AREA_Sunset Park Slop Industry City,,"$2,600",sunset park @ industry city,1/15
2 Bed + Office 2 Bath Duplex w/ in unit Laundry🧱 Near A/C train🚝,,"$4,000","crown heights, brooklyn",1/15
BADA BING! 1br @ SENECA Ave-MADISON Str__Ridgewood Bushwick Glendale,,"$2,200",ridgewood - bushwick 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,1/15
__2 BR__$2400__L / M trains__Bushwick Ridgewood Bed Stuy Crown Heights,,"$2,400",bushwick________________________________,1/15
@ BUSHWICK__2 BR__$2400__L / M trains Bushwick Sunset Park Slope,,"$2,400",bushwick________________________________,1/15
Beautiful 4 bed 2 bath apt in Bedstuy (1.5 month free),,"$4,766",bedstuy,1/15
2 bed 2 bath apt w/ in unit W/D💧 only 1 tenant before now!!,,"$5,000","clinton hill, brooklyn",1/15
"☀️Beautifully Finished 1BR in Gorgeous Brownstone, blocks from J/Z 👑",,"$2,650","bushwick, brooklyn",1/15
Sunkissed Studio apt in Crown Heights,,"$2,200",crown heights,1/15
1 bedroom 1 bath plus backyard Bergen beach,,"$1,925",bergen beach,1/15
Come make this 4 bed 2 bath gem your new Home,,"$4,000",bushwick,1/15
Spacious 3 bed 2 bath apt in Ridgewood,,"$3,000",ridgewood,1/15
Large 5 bedroom 2 bath Duplex Townhome,,"$3,500",flushing,1/15
Hot deal Spacious 2 bed 1 bath in Bushwick,,"$2,700",bushwick,1/15
Spacious 2 bed 1 bath apt in Bushwick,,"$2,700",bushwick,1/15
51ST ST & SKILLMAN AVE BEAUTIFUL ONE BEDROOM AVAILABLE,,"$1,500",sunnyside,1/15
Gorgeous Apartment!!!,,"$7,100",murray hill,1/15
Breathtaking apartment!!!,,"$4,050",murray hill,1/15
Two bedroom for rent $2200,,"$2,200",yonkers,1/15
College Point 14Ave 3beds 1 bath $2300,,"$2,300",college point,1/15
2 Bedroom Apartment,,"$1,950",new rochelle,1/15
Large 1 BD/1BA. Balcony + Central Prk Views. W/D in-unit. Lincoln Squa,,"$4,900",upper west side,1/15
Big 1 bedroom in prime Williamsburg,,"$4,150",williamsburg,1/15
HOUSE+1STFLRBACKYARD+HEATHOTWATERGAS+LIVINGRMNICESTAINLESSTEELSWEET2GO,,"$1,995",gravesend,1/15
No Fee big studio with w/d in unit,,"$3,150",financial district,1/15
No Fee Huge 1295sq.ft corner 2 bed 2 bath,,"$6,500",upper east side,1/15
"New, Big Studio (30 ft rm., 2 Huge Closets!",,"$1,550",riverdale,1/15
"Furnished 2 Bdrm, 1 Bath Bed Stuy for rent in Jan/Feb",,"$2,650",bedford stuyvesant,1/15
"New, BIG 1br, Right by Metro North & Downtown",,"$1,738",hastings,1/15
2 Bed Near City College & A/D/B/C/1 Trains!,,"$2,100",harlem / morningside,1/15
Renovated XL 2.5 Bed_Private Yard_Laundry_Private Entrance,,"$2,999",crown heights,1/15
Fort Greene 1BD + Privet Balcony. Luxury Features & Views! 2 Mnth Free,,"$3,938",fort greene,1/15
One family detached home for rent,,"$2,700",manor heights,1/15
One family detached home for rent,,"$2,700",manor heights,1/15
Beautiful and No Fee Apartment!!!,,"$6,990",midtown west,1/15
144th Rd. Springfield Gardens (Beautiful quiet location),,"$2,600","springfield gardens, ny",1/15
Apartamento 2 dormitorio,,"$1,600",fresh meadows,1/15
CORNER UNIT_CITY VIEWS_2 MONTHS FREE!!!!,,"$3,511",financial district,1/15
"Spacious 2br available, Washer/ Dryer In Unit! Dishwasher",,"$3,300",bushwick (83 beadel street),1/15
Studio Apartment,,"$2,000",brooklyn,1/15
No fee convertible 2-BR. West 55th St,,"$5,495",midtown west,1/15
Charming 1 Bed/1 Bath in Tribeca. Spacious Living Space. Must See! NEW,,"$4,095",tribeca,1/15
Studio Apartment,,"$2,000",brooklyn,1/15
Great Studio in FIDI near PACE Available 3/18!,,"$3,982",financial district,1/15
Welcome to 150 Bayard the most finest luxury building  in Greenpoint,,"$5,244",brooklyn,1/15
Welcome to 150 Bayard the most finest luxury building  in Greenpoint,,"$4,578",brooklyn,1/15
Welcome to 150 Bayard the most finest luxury building  in Greenpoint,,"$4,667",brooklyn,1/15
✦ WILLIAMSBURG NO FEE AGENT ✦ 2 BED FOR $3399 ✦ WASHER/DRYER IN UNIT ✦,,"$3,399",williamsburg,1/15
HOT!! GORGEOUS 3 BED ON POST AVE AND W 204 WITH LAUNDRY IN UNIT!!!,,"$2,650",new york,1/15
Brand New Williamsburg Development at 74 North 1st Street,,"$3,554",brooklyn,1/15
HOT!! STU APT STEPS AWAY FROM TRANSPORTATION!! LAUNDRY IN BUILDING!!,,"$1,750",new york,1/15
Studio Apartment Mamaroneck,,"$1,650",mamaroneck,1/15
Renovated Studio in East Village (9th St)+ Dishwasher+ MIC,,"$2,700",east village,1/15
Apartment for Rent,,"$1,350","kew gardens, queens",1/15
"Huge 3 bed , prime williamsburg , open house today",,"$3,800",williamsburg,1/15
1 BR (Flex 2) Unit in Greenwich Village + Laundry in Bldg + Doorman,,"$3,910",greenwich village,1/15
🌟 Awesome 2 Bedroom Apartment located in Bedstuy! $2500,,"$2,500",bedstuy,1/15
🌟 Massive 3 Bedroom Apartment! Prospect Park! King sized room! $2950,,"$2,950",brooklyn,1/15
🌟 Stunning 1 Bedroom apartment W/D in-Unit! $2200,,"$2,200",flatbush,1/15
🌟Massive Crown Heights 3 bed 2 bath! $3250!,,"$3,250",crown heights,1/15
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,,"$2,500",flatbush,1/15
Available 1BD/1BA Sublet at The Century in Riverdale,,"$2,346","riverdale, bronx, ny",1/15
Apartment for Rent,,"$2,300",mount vernon,1/15
Large sunny apartment steps from Union Square.,,"$2,799",east village,1/15
DYNAMIC SPACIOUS KING AND QUEEN BEDS NEW CHEFS KITCHEN MUST SEE DEAL,,"$1,900",flatbush,1/15
RED HOOK 2 BR LOFT APARTMENT FOR RENT!,,"$4,000","red hook, brooklyn, ny",1/15
Studio Duplex for Rent | Elevator Building / WD in unit.,,"$3,100",bed-stuy,1/15
One Bedroom for Rent,,"$2,550","boerum hill, brooklyn",1/15
Apartment Three bed room,,"$2,800",bellerose,1/15
No Fee** Spacious 3bed **Bushwick**,,"$3,000",bushwick,1/15
No Fee Spacious 2 bedroom- Flatbush Ave,,"$2,500",brooklyn,1/15
Spacious 2 bed/ 1 bath Flatbush apartment-No fee,,"$2,300",flatbush,1/15
spacious 3 bed 1.5 Bath- Bushwick- NO Fee,,"$3,200",bushwick,1/15
4 bedrooms 2 baths with balcony fully renovated Gravesend,,"$3,200",gravesend,1/15
Valley Stream 2 bedroom apt for a single or couple,,"$1,500",north valley stream,1/15
2 Bed 2 Bath Duplex ***NO FEE***,,"$2,900",crownheights,1/15
HOT!!! GORGEOUS 3 BED 2 BATH IN THE HEART OF RIVERDALE!! NO FEE!!!,,"$3,650",riverdale,1/15
Two Bedroom- PET FRIENDLY- Halsey L/Seneca M,,"$2,300",ridgewood,1/15
"Gorgeous 2 Bed /1 Bath Apartment, In-Building Laundry + Rooftop Access",,"$2,300",flatbush,1/15
True 4bd/1.5ba- PET FRIENDLY- Available ASAP- Greenpoint,,"$3,650",greenpoint,1/15
Fabulous 2 Bed /1 Bath with In-unit Laundry & Dishwasher!,,"$3,100",bedford-stuyvesant,1/15
Flex 2 BEDROOM IN LUXURY BUILDING WITH WATER VIEW - NO FEE !!,,"$3,840",financial district,1/15
GORGEOUS 3 bed 3 bath @ GREENWOOD!! W/D in unit,,"$3,400",brooklyn,1/15
Spacious 3 bed 1.5 bath off Halsey L (NO FEE),,"$3,399",bushwick,1/15
KING SIZED Modern 1 bed apt at BUSHWICK!! **No fee**,,"$2,400",brookyln,1/15
AMAZING 2 bed plus HUGE basement @ PRIME BUSHWICK!! **No fee**,,"$3,200",brooklyn,1/15
MASSIVE 3 bed 2 bath in PRIME Crown Hights!! *in unit laundry* No fee,,"$3,100",brooklyn,1/15
"In pelham pkway..1 bedroom apt,available!",,"$1,850",barker av(pelham pakway),1/15
"In a fairly new house,three bedrooms apartment!",,"$2,350",eastchester rd(gun hill rd),1/15
"in quiet residential area of pelham gardens,2 bed apt!",,"$1,700",pelham gardens(astor av),1/15
SUNNY Studio! Laundry in building!,,"$1,675",east harlem,1/15
2 BEDROOM IN NOLITA,,"$3,000",nolita / bowery,1/15
Freshmedow Two Bedrooms,,"$2,100",freshmedow,1/15
"Pacific Street/Bond St, large LR, 1BR, furniture, 4 months",,"$2,800",boerum hills,1/15
Littleneck One Bedrooms,,"$1,500",littleneck,1/15
1 Bedroom Apt. for Rent in UWS,,"$4,700",upper west side,1/15
Flushing one bedroom apartment,,"$1,500",flushing,1/15
Gorgeous 2 Bed 1 bath luxury building! NO FEE,,"$2,300",flatbush,1/15
