title,bedrooms,price,location,post_time
Roommate Call! Lux building/ GYM/ROOF/LOUNGE/BIKE ROOM/THEATER/OFFICE,,"$1,500",flatbush/brooklyn,2/2
Beautiful Apartment in Chelsea!!!,,"$7,470",chelsea,2/2
*NO FEE* Bright and convenient 1BR on 28th Street in LIC!,,"$3,500",long island city,2/2
Penthouse 3 bed 1.5 bth/Private roof/Gym/Laundry/Bike /lounge/Ac,,"$4,950",downtown brooklyn,2/2
Large 1 Bed Near Marble Hill Shopping area,,"$1,600",bronx,2/2
MASSIVE 4 BED 2 BATHROOM___IN UNIT LAUNDRY__NO FEE__BUSHWICK,,"$3,600",bushwick,2/2
DUPLEX**PRVATE ROOFDECK**ENDLESS LIGHT**2 BATHROOM**NO FEE,,"$2,900",crown heights,2/2
🟥Williamsburg🟩LARGE 1BR+Office/Private Backyard G/J/M TRAIN NO FEE,,"$2,799",williamsburg,2/2
2 bedroom Astoria,,"$2,900",upper ditmars,2/2
~LOTS OF WINDOWS~SPACIOUS~W/D IN UNIT~,,"$3,937",financial district,2/2
Room for rent $900,,$900,east new york,2/2
RENT STABILIZED STEAL !!  SEE TODAY.. 2 AVAILABLE.,,"$2,199",chinatown / lit italy,2/2
SPACIOUS~~WATER VIEWS~~W/D IN UNIT!!!,,"$7,150",financial district,2/2
APATAMENTO 3 DORMITORIOS 56AV Y VANCLEEF ST CORONA,,"$2,800",corona queens ny,2/2
Roommate Call! Lux building/ GYM/ROOF/LOUNGE/BIKE ROOM,,"$1,525",bedstuy/brooklyn,2/2
"""STRAIGHT UP CLASS"" GORGEOUS GIGANTC 1BR-DM/ELEV/LNDRY/GYM-DW-CNTRL PK",,"$3,900",upper east side,2/2
Spacious modern unit in a private house Inc. All Utilities,,"$1,300",east ny,2/2
"🔥PERFECT ""FLEX 3 BR."" / 👉WATCH VIDEO / 📍HELL'S KITCHEN W. 46 ST.& 9AV.",,"$2,995",midtown west,2/2
2 BEDROOM APARTMENT FOR RENT,,"$1,700",queens ny,2/2
🌟 Bushwick 3 bed 1.5 Bath and Backyard! $3200,,"$3,200",bushwick,2/2
🌟Gorgeous Crown Heights 1 Bed! Chipotle down the street! $2300,,"$2,300",crown heights,2/2
🌟 Bright Crown Heights 3 Bedroom Apartment! $2800,,"$2,795",crown heights,2/2
🌟Ridgewood 3 Bed 2.5 Bath! Gorgeous! $3500,,"$3,500",ridgewood,2/2
"Beautiful studio in heart of Forest Hills, 24hr doorman -FREE Internet",,"$1,550",forest hills,2/2
_WHITE GLOVE SERVICE_____WASHER & DRYER_____ULTRA LUXURY,,"$5,200",financial district,2/2
"""ULTIMATE APT!"" BEAUTIFUL(LUXURY)2BR/2.5BA-VIRT DM/ELEV/GYM-WD UNIT-DW",,"$9,500",upper east side,2/2
Corner______Windows in all rooms________extra storage_,,"$3,878",financial district,2/2
"@ Spacious 3bed/1bath Apt w/i"" Heat"" incld. + Subway (D)",,"$2,300","dyker heights, ny",2/2
Beautiful  Ground floor 2 bedroom apartment,,"$1,900",ridgewood,2/2
