title,bedrooms,price,location,post_time
"Renovated 2 Bed 1.5 BA Apt with in-unit W/D, private outdoor, parking",,"$4,200",williamsburg - east williamsburg,1/20
1 Bedroom Apt - All Included,,"$1,800",windsor terrace,1/20
"FOR YOU ONLY ""THE BEST!"" (GIGNTC)1BR-DM/ELV/WD UNIT/GYM-SS-DW-CNTRL PK",,"$4,950",upper east side,1/20
43RD STREET AND 43RD AVE TWO BEDROOMS NEAR #7 TRAIN AND 30MIN TO N Y C,,"$2,350",sunnyside,1/20
EAST 52ND STREET OFF LEXINGTON AVE; BEAUTIFUL STUDIO AVAILABLE,,"$1,900",manhattan,1/20
"Great Value*True 3 bed & 2 bath, Great natural light, lots of closet s",,"$2,700",crown heights,1/20
1 bedroom/1 bath PARTIAL FURNISHED apartment !!!Great location!!!,,-1,"kew gardens hills, new york",1/20
___WASHER&DRYER____WHITE GLOVE SERVICE_____WALK IN CLOSET___WATER,,"$5,300",financial district,1/20
King bedrooms_____pets ok____24/7 doorman____,,"$4,800",financial district,1/20
Spacious renovated 3br apt - Lots of natural sunlight .,,"$2,500",east flatbush,1/20
Very sunny and airy 2br 2bath apt with Balcony and laundry,,"$2,892",bed-stuy,1/20
"Prime location, spacious 1.5br duplex apt",,"$4,500",prospect heights,1/20
Spacious 2br with private yard,,"$2,600",bed-stuy,1/20
Spacious 3br duplex apt in great location - Large bedrooms each,,"$3,600",bed-stuy,1/20
"Live on one of the best blocks of park slope/Boerum Hill,",,"$3,250",park slope,1/20
"These spacious 3 Bedrooms have gigantic sunny living rooms,",,"$2,800",bed-stuy,1/20
Spacious newly gut renovated 4br 3Full bath duplex apt,,"$4,300",bed-stuy,1/20
Beautiful and spacious 4br 2bath apt,,"$4,124",bushwick,1/20
1 Bedroom; All Utilities Included,,"$1,600",richmond hill,1/20
Spacious 3br apt - Lots of natural sunlight throughout,,"$2,800",crown heights,1/20
Very sunny and airy loft duplex apt with in unit laundry,,"$2,531",bed-stuy,1/20
