title,bedrooms,price,location,post_time
Renovated Bedford Stuyvesant 2 Bedroom Corner Windows,,"$2,600",bedford stuyvesant,1/23
"3 br apts. in Jersey City -mins to Manhattan,near train.",,"$2,800",jersey city,1/23
74TH STREET AND BROADWAY ONE BEDROOM NEAR #7 TRAIN E M R TRAIN,,"$1,700",jackson heights,1/23
Stunning Brand New Massive Prospect Heights 2 Bed 2 Bath NO FEE,,"$6,495",prospect heights,1/23
"Gorgeous 1 Bed in Renovated Building w/ Backyard, Rood & Laundry!",,"$2,499","bushwick, 500 feet from the kosciusko st j train.",1/23
MASSIVE 2 Bed w/ Balcony in NEW Luxury Building!,,"$3,345",heart of bedstuy! short walk from the j/z/a & c train lines.,1/23
2 Bed 2 Bath w/ Private Outdoor Space + Laundry!,,"$2,499",ocean hill! short walk from the a & c train lines.,1/23
Grogeous 2 Bed w/ Private Terrace and Laundry near Prospect Park!,,"$2,499","prospect lefferts gardens, near winthrop 2 & 5 train lines.",1/23
Gorgeous 3 Bed with Private Balcony available!,,"$2,850","flatbush, short walk from the beverly rd. 2 & 5 train lines.",1/23
"3 Bed 2 Bath Duplex w/ Laundry, Roof Deck, Game Room, & Gym!",,"$3,599","ridgewood, near m & l train lines.",1/23
2 Bed 2 Bath Duplex w/ Private Terrace + in-unit Washer & Dryer!,,"$3,395","crown heights, short walk from the a/c train lines at nostra",1/23
Gorgeous 3 Bed Duplex in Williamsburg w/ in-unit Laundry!,,"$4,646","williamsburg, near lorimer j & m, and montrose l.",1/23
"Williamsburg - Luxury Duplex apt - 1.5 Bath - Laundry, Gym, Elevator",,"$4,300",williamsburg / greenpoint,1/23
Williamsburg - Large 1 Bedroom with Office (2nd BR) - Heat included,,"$2,750",e. williamsburg / williamsburg,1/23
E. Williamsburg / Bushwick - Beautiful 2 Bed /2 Bath - No fee,,"$3,100",east williamsburg / bushwick,1/23
Beautiful Apartment!!!,,"$4,790",financial district,1/23
638 Classon Avenue #2R,,"$3,900",brooklyn,1/23
59TH STREET AND WOODSIDE AVE ONE BEDROOM NEAR #7 TRAIN AND 25MIN TO N,,"$1,690",woodside,1/23
"$1,45o 2-Level LOFT/STUDIO w/Utilities Included",,$1,near r+m trains+m+#7 trains- off broadway,1/23
Rental Apartment,,"$2,995",brooklyn,1/23
"$3,2oo 3Bed 2Bath w/BBQ.Pit+Yard+2.Balconies+Parking PETS OK!",,$3,near r+m+#7 trains- off broadway,1/23
Bright! Laundry in building! FREE MONTH!!,,"$2,600",financial district,1/23
STUNNING BRIGHT 2BED/1BATH APARTMENT,,"$3,599",lower east side,1/23
"Clean, quiet, and large room and studio",,"$2,200",brooklyn,1/23
2 Bed | 2 Bath with Yard! Great Location!,,"$2,500",ridgewood,1/23
63RD STREET AND WOODSIDE AVE ONE BEDROOM NEAR #7 TRAIN AND 25MIN TO N,,"$1,665",woodside,1/23
Huge king 2bed/2bath w/ w/d in unit+elevator+doorman+parking+more!,,"$4,000",bed stuy @ myrtle/willoughby g,1/23
Charming New 2 Bedroom Avail IMMED.  No LVRM.   Roommates OK! -W 46th,,"$2,995",midtown west,1/23
Studio w/ Gas * Heat* Water Included in Manhattanville,,"$2,275",harlem / morningside,1/23
Thanos Snapped these prices in half!,,"$2,400",financial district,1/23
"Huge 3 bedroom 1.5 bath plus H/O private outdoor, w/d & 1 parking spot",,"$3,200",kensington  (close to prospect park and windsor terrace),1/23
APT. DE 2 DORMITORIOS PRIMER PISO BUILDING,,"$2,300","cerca del hospital montefiore, bronx, ny",1/23
"Brand New, Absolutely gorgeous, spacious, w/d in unit",,"$2,350",bed-stuy/ stuyvesant heights,1/23
4 Bed 1.5 Bath w/Skylight,,"$3,675",ridgewood,1/23
Large sunny apartment steps from Union Square.,,"$2,799",east village,1/23
Steps from City College! Absolute Steal!,,"$2,150",harlem / morningside,1/23
DUPLEX**PRVATE ROOFDECK**ENDLESS LIGHT**2 BATHROOM**NO FEE,,"$2,900",crown heights,1/23
Private Garden! No stairs! Huge apartment!,,"$2,650",harlem / morningside,1/23
"☀️NEW 1Bd/1Ba, Laundry in Unit, Rooftop☀️near JZ trains! No fee☀️",,"$2,650","bushwick, brooklyn",1/23
Beautiful Two Bedroom APT in Williamsburg,,"$2,750",brooklyn,1/23
"APARTAMENTO DE UN DORMITORIO CERCA DEL  MONTEFIORE/TRENES D, #:2, #:4",,"$1,500","bronx, new york",1/23
Apartments in Greenpoint,,"$2,400",greenpoint,1/23
Cozy and Spacious 3BR in MorningSide,,"$3,495",harlem / morningside,1/23
2 bed 1 Bath in Historic🧱 Upper West Side!,,"$3,100",upper west side,1/23
2 BR + Office apt w/ Amazing Light☀️great closet space🌲,,"$3,250","stuyvesant heights, brooklyn",1/23
LARGE 2 BEDROOM------------CHIMENY-----------HARDWOOD FLOORS---------H,,"$2,000",astoria,1/23
"Renovated 2 bedroom with island, large closets, central air",,"$2,199",brooklyn,1/23
1 Bedroom/1 Bathroom with renovated kitchen and bathroom on 3rd floor,,"$2,600",upper west side,1/23
NICE JR. 1 BEDROOM IN WELL KEPT BUILDING NEAR ALL,,"$1,650",richmond hill,1/23
$3300  - Gutted and fully Renovated 2Br 1Ba in Morningside,,"$3,300",morningside heights,1/23
♡ 15 min to Times Sq - 42 St ♡,,"$1,600",sunnyside/lic,1/23
MASSIVE 3 BED 1 BATH BROWNSTONE IN BEDSTUY FOR A SWEET PRICE! NO FEE!,,"$3,150",bedstuy,1/23
5 Bed 2 Bath with,,"$4,500",ocean hill,1/23
Brand New Ground Floor 3 Bedroom Apartment for Hasa!,,"$3,000",parkchester- soundview,1/23
☀️Huge Duplex *Private Backyard* *Washer Dryer in Unit* NO FEE!!,,"$4,695","bedford stuyvesant j,m,z, and g trains @ myrtle broadway ave",1/23
Brand New Ground Floor 2 Bedroom Apartment for Hasa!,,"$2,450",parkchester- soundview,1/23
Gorgeous Williamsburg 2 Bed w PRIVATE TERRACE,,"$4,102",williamsburg,1/23
$3495 - 3 Bedroom Apartment with clever layout in Morningside Heights,,"$3,495",morningside heights,1/23
Spacious 3 Bed 2 Bath!! Steps away from M train,,"$3,200",ridgewood,1/23
*NO FEE* Midtown East Gorgeous One Bedroom w/ updated features,,"$3,299",midtown east,1/23
Large Studio Apartment - Available for Rent,,"$1,600",park hill - yonkers,1/23
Large 2 Bedroom Apartment!,,"$1,800",park hill - yonkers,1/23
"Beautiful, sunlit 1 Bedroom 1 bath in Hell's Kitchen",,"$2,550",midtown west,1/23
Large 3 Bedroom Apartment- Available for Rent!,,"$2,180",park hill - yonkers,1/23
Beautiful 3 bedroom apartment- for Hasa!,,"$3,000",wakefield - bronx,1/23
"Stunning Studio Located at 1 West Street, FiDi Full service building.",,"$2,900",financial district,1/23
1 Bedroom Basement Apartment! $1500 !LAURELTON!,,"$1,500",laurelton,1/23
LOFT SPACE - Natural Light - FREE MONTH,,"$2,900",financial district,1/23
Beautiful Renovated *Washer Dryer in Unit* *Huge Backyard* NO FEE,,"$3,933","bedford stuyvesant j,m,z, and g trains @ myrtle broadway ave",1/23
ROSLYN HOUSE FOR RENT,,"$7,000",long island,1/23
3.5 Bedroom / 2.5 Bath w/ huge Basement + Backyard,,"$3,800",queens,1/23
Large Ground Floor 3 Bedroom Apartment For HASA,,"$3,000",far rockaway - queens,1/23
Apartment Rentals,,"$2,400",yonkers,1/23
"$1,6oo XL STUDIO w/Rooftop ~ PETS OK!",,$1,10mins to manhattan - lowery st,1/23
FURNISHED 12 MONTH 1 BED 24H DOORMAN  FIDI,,"$4,000",financial district,1/23
HUGE 2 BED 1 BATH IN BUSHWICK FOR A GREAT PRICE! LOTS OF LIGHT & SPACE,,"$2,600",bushwick,1/23
LARGE 2 Bed Plus Office in the Heart of Bedstuy!!,,"$2,700",bedstuy,1/23
Spacious and Bright 3 bedroom 1 bath + Private backyard,,"$2,650",bushwick,1/23
MASSIVE 2 Bed 2 Bath Plus Office,,"$2,800",bushwick,1/23
MASSIVE 3 BEDROOM 1 BATH** LAUNDRY IN UNIT**NO FEE,,"$3,100",flatbush,1/23
🔥Artist Loft ☀️Huge Skylight🌇 Private Rooftop *W&D in Unit* NO FEE!!,,"$4,995","prime bedstuy @ j, m, z, myrtle subway",1/23
NO FEE Renovated East Village 1BD - Washer Dryer & Balcony,,"$3,495",east village,1/23
"Dishwasher, Doorman, Laundry, Stone Countertops",,"$3,245",crown heights,1/23
"Stainless Steel Appliances, stone countertops, exposed brick",,"$2,200",bed-stuy,1/23
East Village NO FEE Newly Renovated 2BD w/ Washer Dryer,,"$4,295",east village,1/23
"Laundry, Roof Access, Dishwasher, Shared backyard, Stainless steel apl",,"$2,799",bed-stuy,1/23
"Chic Loft-Like 2 Bed, 2 Bath + Balcony in Soho. Luxury Building. NO Fe",,"$15,250",soho,1/23
MASSIVE PENTHOUSE. 4Bed/4Bath. UWS. NYC Chic Look. No Fee!,,"$16,500",upper west side,1/23
"Washer/Dryer, Dishwasher, Elavator, AC, Roof Access, Gym",,"$2,900",bed-stuy,1/23
Lofted 4 Bed 2 Bath!!! Natural Light,,"$5,000",boerum hill,1/23
"Balcony, Dishwasher, AC, Washer/Dryer, Private Parking, Bike Storage",,"$3,450",bed-stuy,1/23
Gorgeous 1bedroom/1bathroom unit,,"$4,195",soho,1/23
"East 5th Street & A:  No-Fee 1-bedroom w washer & dryer, dishwasher",,"$3,195",east village,1/23
Spacious 2 Bed 2 Bath NO FEE + Office space,,"$2,800",brooklyn,1/23
"Dishwasher, Laundry, Shared Backyard, Roof Access",,"$2,800",bed-stuy,1/23
Central Greenwich,,"$1,400",greenwich ct,1/23
Large 2 Bedrooms with a private Backyard| NO FEE,,"$2,799",bushwick,1/23
LUXURY 2 Bed in Fidi.  Amazing City + River Views!!,,"$7,860",financial district,1/23
2 Bed 1 Bath PH + MASSIVE Private Roofdeck,,"$3,000",bedstuy/bushwick,1/23
"East 5th Street & A:  No-Fee 1-bedroom w washer & dryer, dishwasher",,"$3,195",east village,1/23
Apartament d 2 cuartos  2500,,"$2,500",queens,1/23
Amazing Studio for Rent less then 30 seconds to 7 Train,,"$1,600",sunnyside/lic/see video,1/23
UNDER PRICE! SPACIOUS 4 BEDROOM 1.5 BATH**NO FEE,,"$3,000",crownheights,1/23
🌟 Stunning 1 Bedroom apartment W/D in-Unit! $2200,,"$2,200",flatbush,1/23
MASSIVE 3 BED 2 Bath!! W/D IN UNIT!!,,"$3,200",brooklyn,1/23
🌟New Studio Apartment in Flatbush $1900! Brooklyn College,,"$1,900",flatbush,1/23
🌟 Massive 3 Bedroom Apartment! Prospect Park! King sized room! $2900,,"$2,900",brooklyn,1/23
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,,"$2,500",flatbush,1/23
🌟Massive Crown Heights 3 bed 2 bath! $3150!,,"$3,150",crown heights,1/23
Comfortable 3BDR/2BA unit,,"$6,995",midtown west,1/23
"East 4th & Ave B:  No-Fee 1-Bedroom w washer & dryer, dishwasher",,"$3,395",east village,1/23
$2900 - Beautiful 2 Bedroom apartment in Washington Heights,,"$2,900",washington heights,1/23
No Fee 4 Bed/ 2 Bath Duplex Apartment in Boerum Hill,,"$5,000",boerum hill,1/23
Modern Meets Cozy Hidden Gem/Private entrance,,"$2,500",new rochelle,1/23
LARGE 1 BED 1 BATH- DOORMAN BLDG- NO FEE,,"$2,695",riverdale,1/23
"Mott & Prince: No-Fee Renovated 2-bedroom w washer & dryer, dishwasher",,"$4,595",nolita / bowery,1/23
Stamford Apt,,"$2,050","fairfield co, ct",1/23
Spacious 1 bedroom Duplex in Crown Heights,,"$2,300",brooklyn,1/23
AFFORDABLE RENOVATED HARLEM 1 BED 1 BATH- NO FEE,,"$2,600",harlem / morningside,1/23
"Mott & Prince: No-Fee Renovated 2-bedroom w washer & dryer, dishwasher",,"$4,595",nolita / bowery,1/23
