title,bedrooms,price,location,post_time
"@ Whole House w/i ""3beds/ 2baths/ Laundry/ Parking/ etc..""+ small Pets",,"$3,400","flushing, ny",1/24
"Newly renovated, sun lit 1 Bed apt with large living room",,"$2,275",bronx,1/24
"___""L"" MORGAN___LARGE__ALL OPEN ___""LOFT""___NO FEE___",,"$3,499","williamsburg__""l"" morgan__""j & m"" flushing stop",1/24
1 bedroom apartment,,"$1,600",queens,1/24
"NO FEE 2 Bedroom AND Home Office, Private Outdoor Space, Washer/Dryer",,"$2,923",brooklyn,1/24
"AWESOME 1 BED 1 BATH IN PRIME WILLIAMSBURG! *GYM,LAUNDRY,LOUNGE ROOM*",,"$3,200",williamsburg,1/24
"Penthouse flat 2 bedroom, 2 bath",,"$4,400",westport,1/24
LARGE 2BR/1BTH*TERRACE*LAUNDRY*ELEVATOR*CENTRAL PARK*UES!*,,"$5,095",upper west side,1/24
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,,"$4,400",gowanus,1/24
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,,"$2,995",clinton hill,1/24
Apartment for Rent,,"$1,000",queens village,1/24
LOFT Renovated 1Bed/1Bath + Privet Backyard in Gramercy Park. NO Fee,,"$3,750",gramercy,1/24
HUGE 65BEDROOMS / 2 BATHROOMS DUPLEX IN PRIME LOCATION IN WILLIAMSBURG,,"$6,200",brooklyn,1/24
"super dreamy and spacious 2 bed/2 bath, no fee, prospect park :)",,"$4,500",prospect heights,1/24
BRAND NEW SPACIOUS ROOM IN PRIME WILLIAMSUBURG,,"$1,600",williamsburg,1/24
Queen size bedroom with two closets and 1 bathroom,,"$2,295",inwood / wash hts,1/24
"1 Bedroom + Office W/ Hardwood Floors, Decorative Fireplace",,"$2,000",park slope,1/24
🌟 Stunning 1 Bedroom apartment W/D in-Unit! $2200,,"$2,200",flatbush,1/24
🌟Massive Crown Heights 3 bed 2 bath! $3150!,,"$3,150",crown heights,1/24
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,,"$2,500",flatbush,1/24
"cozy spacious 2 bed/2 bath on Jefferson, near maria hernandez park",,"$3,100",bushwick,1/24
