title,bedrooms,price,location,post_time
Sunkissed spacious 2 bed 2 bath apt in Williamsburg,,"$5,000",williamsburg,1/31
1bed w/ private backyard in East Willyberg +heat/hw included,,"$2,500",east williamsburg @ morgan l + jefferson l,1/31
"AWESOME 1 BED 1 BATH IN PRIME WILLIAMSBURG! *GYM,LAUNDRY,LOUNGE ROOM*",,"$3,200",williamsburg,1/31
*BEAUTIFUL* BRAND NEW 2BED 1BATH WITH W/D IN UNIT *ASAP* MOVE IN!,,"$2,500",brooklyn,1/31
*MASSIVE* 3 BED DUPLEX (not a basement)! READY FOR ASAP MOVE IN!,,"$3,500",bushwick,1/31
"2 bedrooms 1 bath with balcony $2,100 Bensonhurst",,"$2,100",bensonhurst,1/31
10ft+ Ceiling Large Railroad Style 2BD Apartment with Private Back Yar,,"$2,550",williamsburg,1/31
ID *1415973 Apartment For Rent In The Heart,,"$2,800",elmhurst,1/31
"Jumbo ( Studio ) By E/F Trains | Elevator/Laundry, Utilities Included",,"$1,775",briarwood / kew gardens / forest hills / rego park,1/31
4 BED 2 BATH WITH LIVING ROOM,,"$3,999",brooklyn,1/31
**GORGEOUS STUDIO APT IN LOVELY BROWNSTONE IN BED-STUY**,,"$2,100",bedford-stuyvesant,1/31
Gorgeous 2 Bed 1 Bath pets friendly apartment available in prime Flatb,,"$2,499",flatbush,1/31
Spacious 3 bed +  office 2 bath apt with backyard access,,"$4,000",bedstuy,1/31
NO-FEE Luxury 1 Bed w/ East Views & In-Unit Laundry in Prospect Height,,"$3,815",prospect heights,1/31
Large two bedroom in Brooklyn,,"$2,400","brooklyn, ny",1/31
2 bed 1 bath in Hell's Kitchen-,,"$3,900",midtown west,1/31
NO FEE Luxury Renovated 3 Bedroom w/ Fantastic Modern Amenities,,"$6,410",murray hill,1/31
"NO FEE 3 BEDS,2BATHS,W/D IN UNIT,DOORMAN,ELEVATOR,CLOSE TO CENTRALPARK",,"$8,400",midtown,1/31
Spacious and Bright 2 bedroom 1 bath + office space+ Private backyard,,"$2,600",bushwick,1/31
"*IMMACULATE 3 BED 3 BATH IN CROWN HEIGHTS! LAUNDRY & ROOF, NO FEE!*",,"$3,200",crown heights,1/31
LARGE PRIVATE DECK ● LOTS OF NATURAL LIGHT!! DISHWASHER! GYM ●LAUNDRY,,"$2,999",clinton hill at the g myrtle & classon train stop,1/31
2 BEDROOM SUNSET PARK,,"$1,850",sunset park,1/31
