title,bedrooms,price,location,post_time
SUN BLASTED CHELSEA ALCOVE STUDIO - FULLY LOADED DOORMAN BLDG_A STEAL!,,"$2,595",chelsea,1/24
Apartment With Exposed Brick and High Ceilings,,"$2,900",bushwick,1/24
Life just got Better! I'm excited to show this master piece !,,"$2,900",financial district,1/24
Proper Design. Smartly Priced. Amazing views. Ready for move-in!,,"$2,595",battery park,1/24
NEW CONSTRUCTION=TOP FLOOR=GREAT VIEWS=MASSIVE SPACE=ECO FRIENDLY,,"$3,800",financial district,1/24
RECENTLY RENOVATED LARGE 3 BED APT!SUNNY!,,"$2,450",bronx,1/24
Amazing apartment in Brooklyn (Bushwick/Ridgewood),,"$3,500",ridgewood,1/24
Bright Apartment in Super Convenient Location,,"$3,999",crown heights,1/24
Renovated 2 Bedroom With In-Unit Laundry,,"$3,400",greenpoint/east williamsburg,1/24
RARE LOFTY FLOOR THRU MIDTOWN EAST 2 BED + PRIVATE TERRACE_GREAT FIND!,,"$3,595",midtown east,1/24
BRIGHT NOLITA CORNER 3 BED STUNNER__PRIME LOCATION!,,"$4,995",nolita / bowery,1/24
TRANQUIL SUN SWEPT WV 1 BED OASIS___PRIME LOCATION - A STEAL!,,"$3,995",west village,1/24
AWESOME BRIGHT WV TRUE 1 BED STUNNER + W/D IN UNIT - A STEAL!!!,,"$3,495",west village,1/24
SPACIOUS SUN FLOODED EV STUDIO OASIS + W/D IN UNIT___A STEAL!,,"$2,995",east village,1/24
NO FEE DUPLEX SEAPORT LOFT STUNNER___W/D IN UNIT - ELEV BLDG - NO FEE!,,"$5,850",financial district,1/24
BARGAIN BRIGHT GRAMERCY 2 BED STUNNER - PRIME LOCATION - A STEAL!!!,,"$2,995",gramercy,1/24
SUN SWEPT GUTTED WV 1 BED OASIS___LNDRY/ ROOF DECK BLDG - RARE FIND,,"$3,995",west village,1/24
SPACIOUS LES 1 BED DIGS - PRIME LOCATION - RARE FIND,,"$2,750",lower east side,1/24
RARE EV 2 BED/ 1.5 BATH DUPLEX + BACKYARD_ELEV/ LNDRY/ ROOF DECK BLDG!,,"$3,495",east village,1/24
2 BEDROOM 1 BATH 1 BLOCK FROM 3 TRAIN,,"$2,500",east new york,1/24
One bdrm apt.,,"$2,000",astoria,1/24
Beyond Mint,,"$3,000","springfield gardens, rosedale",1/24
2 rooms on 3rd flr.,,"$1,700",fleetwood,1/24
Available Now!!! 2 bed near Utica Ave 3/4 train.,,"$2,350",crown heights,1/24
Get Cozy In this 2 Bed DEAL!!!!,,"$2,000",east new york,1/24
"small, renovated two-bedroom available now",,"$2,995",chelsea,1/24
"ONEBEDROOM, HASA CLIENTS",,"$2,200",bronx  ny,1/24
3 Bedroom & 2 bath spacious apartment in private residential house,,"$3,100",east new york,1/24
Beautiful Furnished Raised Ranch In Prospect Park,,"$5,900",white plains,1/23
🟥BEDSTUY🟩Sunny 4BR/2BATH Laundry In Apt @/J/M/Z TRAIN No Fee,,"$3,195",bedstuy,1/23
HOUSE+4BDRM2BATHRM+1FDUPLEX+BACKYARD+BALCONY+NICEBRANDNEWRDYSWEET2GOPR,,"$3,500",dyker heights,1/23
"*NO FEE+1 Month FREE* GORGEOUS 1 bedroom, Doorman, Elevator, Laundry",,"$3,692",upper east side,1/23
Four Bedroom House plus in-law suite,,"$5,300",irvington,1/23
Brand New Luxury Condo,,"$2,150",midwood,1/23
ONE MONTH OFF: Spacious 2 BR with Central Park Views,,"$3,995",upper west side,1/23
No Fee 1-bedroom 1bath apartment for rent immediately,,"$4,700",flatiron,1/23
HUGE 1 BR*Doormen Building*Balcony*Must See!!!,,"$5,600",union square,1/23
beatiful 4 bedroom duplex,,"$2,800",bronx,1/23
Biggest Rooms in Brooklyn,,"$4,200",brooklyn,1/23
NO FEE LUXURY 1 BEDROOM in FINANCIAL DISTRICT,,"$4,275",financial district,1/23
NO FEE LARGE STUDIO LUXURY in FINANCIAL DISTRICT,,"$2,995",financial district,1/23
Alcove Studio w/ Private Balcony Washer & Dryer & Dishwasher By Park,,"$2,442",prospect park south / flatbush / ditmas park,1/23
STUDIO APARTMENT  FOR RENT BRAND NEW,,"$2,100",bushwick,1/23
54th Street 1 Bedroom 1 Bathroom 1/2 Month Rent Free,,"$4,212",midtown west,1/23
Large 2 Bedrooms with New Kitchen on Top Floor Overlooking the Park,,"$2,795",prospect park south / flatbush / ditmas park,1/23
"Spacious 2br/1ba available for Feb 1 move in, Laundry, Outdoor area",,"$3,000",bushwick/ridgewood (1874 menahan street),1/23
APARTMENTS AVAILABLE!!!,,"$3,000",bronx,1/23
"Bronx, 1 Br, 1 Bath   4th Fl",,"$1,900",bronx,1/23
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,,"$2,995",clinton hill,1/23
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,,"$4,400",gowanus,1/23
Beautiful ( 2 Bed ) Duplex W/ Roof Deck ! Easy Access to A/C/J/L Train,,"$2,300",east ny / bushwick / ocean hill / bedford stuyvesant,1/23
NO FEE 1bd - 4min walk to Myrtle Ave J/M/Z,,"$2,630",brooklyn,1/23
3br 2ba Full gut reno with shared courtyard in Prime West Vil!,,"$8,500",west village,1/23
Charming Crown Heights 2 Bedroom w Renovated Bathroom Kitchen,,"$2,700",crown heights,1/23
BRAND NEW! 2 Bedroom apartment in Bay Ridge - 5th ave & 81st Street,,"$2,600",bay ridge,1/23
CORNER UNIT_CITY VIEWS_2 MONTHS FREE!!!!,,"$3,511",financial district,1/23
BRAND NEW! 3 Bedroom apartment in Bay Ridge - 5th ave & 81st Street,,"$3,000",bay ridge,1/23
Apartamento,,"$2,500",mount vernon ny,1/23
Nice One Bedroom Apt   home and Office with Parking. Feb . No Fee,,"$1,886",forest hills,1/23
"FOR YOU ONLY ""THE BEST!"" MINT 1BR-ELEV/LNDRY-GRAN-SS-DW-QN BR-CNTRL PK",,"$2,500",upper east side,1/23
Spacious 2 bed 1 bath unit in Bushwick W/d in bldg + furnished rooftop,,"$2,600",bushwick,1/23
YOU WILL ENJOY THE NEW LUXURY BATHROOMS WITH THEIR STYLISH TILING,,"$4,195",prospect heights,1/23
------->NO FEE------LUXURY DEVELOPMENT 2 BED 1 BATH----WATERFRONT----5,,"$5,100",long island city,1/23
"2 BED / 1 BATH DISHWASHER, STONE COUNTERTOPS, PRIVATE ROOF DECK",,"$4,100",williamsburg,1/23
"Classic 1 bed in Gramercy Park. Big, Bright, Beautiful .See 3D Tour",,"$3,695",gramercy,1/23
Newly renovated 2 bedrooms with parking,,"$2,600",kew garden,1/23
Best Deal | Massive 3Beds in Bushwick + Hardwood Floors,,"$2,899",brooklyn,1/23
Live / work Soho 5 bedroom 2 bath loft,,"$15,000",soho,1/23
Jones/Bleecker WV. Large 1 bed (convert 2) with Private Backyard Space,,"$3,500",west village,1/23
"Stunning Studio in Prime Soho, Elegant Renovation! Elevator, Laundry b",,"$2,995",soho,1/23
BRAND NEW SPACIOUS ROOM IN PRIME WILLIAMSUBURG,,"$1,800",williamsburg,1/23
Crown Heights Renovated 3 Bed 2 Bath,,"$4,000",crown heughts,1/23
Renovated specious 2 bed 1 bath prime Bed - Stuy,,"$2,600",brooklyn,1/23
Spacious Bedroom in the Heart of The Financial District WOW!,,"$2,799",financial district,1/23
"Wonderful apartment in great neighborhood in Crown Heights, $850",,$850,brooklyn,1/23
Brand New Luxury 1 Bed Fort Greene Best Deal In Town NO FEE,,"$3,695",clinton hill,1/23
Prime Kensington 2 Bedroom,,"$2,000",kensington village,1/23
Pacific St_2BR @ BARCLAYS__PARK SLOPE BOERUM HILL PROSPECT HEIGHTS,,"$3,400",park slope,1/23
Huge and Charming Bedford Stuyvesant Prewar 1 Bedroom,,"$2,600",bedford stuyesant,1/23
No Fee 3bed/1bath in Stuy Heights,,"$3,250",brooklyn,1/23
No Fee 3bed/2bath duplex w/d in unit,,"$3,800",brooklyn,1/23
SPACIOUS 2 BDRM AVAILABLE IN BUSHWICK***ASAP MOVE IN***GREAT LOCATION,,"$2,550",bushwick,1/23
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,,"$4,400",gowanus,1/23
S. Williamsburg Prewar Renovated 3 Bed 2 Full Bathroom,,"$4,000",williamsburg,1/23
SUPER SUNNY 2 BDRM PENTHOUSE AVAILABLE IN PRIME BUSHWICK*PRIVATE PATIO,,"$2,995",bushwick,1/23
LUXURY 1 BDMR APT AVAILABLE IN PRIME ASTORIA***LOTS OF AMENITIES**,,"$2,934",astoria,1/23
MODERN 2 BDRM GEM AVAILABLE IN BEDSTUY**ASAP MOVE IN***GREAT LOCATION,,"$2,695",bedford stuyvesyant,1/23
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,,"$2,995",clinton hill,1/23
Studio Condo for rent,,"$1,800",sunset park,1/23
"WE HAVE OVER 1,300 DIFFERENT APARTMENTS FOR RENT IN BRONX, NY",,"$2,500",bronx,1/23
Unreal Beautiful Brand New Luxury 1 Bed Prospect Heights NO FEE,,"$4,490",prospect heights,1/23
---33RD FLOOR----NO FEE------1 MO FREE----SUN DRENCHED----- 5 MIN TO M,,"$3,199",long island city,1/23
Giant Prewar Bedford Stuyvesant 2 Bedroom,,"$2,000",bedford stuyesant,1/23
