title,bedrooms,price,location,post_time
3 BED 2 BATH FLEX 4,,"$7,890",financial district,1/24
FIDI FLEX 3  - 24H DOORMAN,,"$4,750",financial district,1/24
PET OK*2 BATHR.*LAUNDRY*GARAGE*SPACIOUS*EASTCHESTER SCH.*CLOSE TO RR**,,"$3,150",scarsdale,1/24
Newly Renovated NO FEE East Village 3BD - Washer Dryer!,,"$5,495",east village,1/24
"$1,6oo XL STUDIO w/Rooftop ~ PETS OK!",,$1,10mins to manhattan - lowery st,1/24
A home for everyone - even your pets! Pet friendly 2 bed / 2 bath!,,"$3,545",elmsford,1/24
"$2,8oo 2Bed 1Bath ~ 1st Floor ~ 1000sqr feet",,$2,near local+express #7 trains ~ no credit? no problem!,1/24
*STUNNING 3 BED 1 BATH IN CROWN HEIGHTS FOR A SWEET PRICE! NO FEE!*,,"$2,500",crown heights,1/24
*STUNNING 2 BED 1 BATH IN LUXURY BUILDING! LOTS OF AMENITIES NO FEE!*,,"$2,400",farragut,1/24
GORGEOUS 1 BED 1 BATH IN CLINTON HILL FOR A SWEET PRICE! NO FEE!,,"$2,300",clinton hill,1/24
GORGEOUS 3 BED 2 BATH IN CROWN HEIGHTS!! IN-UNIT W/D & PRIVATE BALCONY,,"$2,900",crown heights,1/24
MASSIVE 3 BED 1 BATH BROWNSTONE IN BEDSTUY FOR A SWEET PRICE! NO FEE!,,"$3,150",bedstuy,1/24
FURNISHED 2 Bed+PRIVATE YARD+Exposed Brick,,"$3,800",bedford stuyvesant,1/24
UNDER PRICE!  2 BEDROOM IN BUSHWICK NEXT TO L TRAIN,,"$2,600",bushwick,1/24
CLINTONHILL//2 BEDROOM 1.5 BATHROOM/HUGE BASEMTNT// BACKYARD//NO FEE,,"$3,000",clintonhill,1/24
UNDER PRICE! SPACIOUS 4 BEDROOM 1.5 BATH**NO FEE,,"$3,000",crownheights,1/24
DUPLEX**PRVATE ROOFDECK**ENDLESS LIGHT**2 BATHROOM**NO FEE,,"$2,900",crown heights,1/24
Massive Apartment With Updated Features,,"$4,700",bed-stuy,1/24
Newly renovated 4BR 2 Bath Duplex apt in a private home,,"$3,300",new rochelle,1/24
"Great Value*True 3 bed & 2 bath, Great natural light, lots of closet s",,"$2,700",crown heights,1/24
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,,"$2,995",clinton hill,1/24
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,,"$4,400",gowanus,1/24
Bright 3BR with private elevator on 27th Street in LIC!,,"$4,200",hunters point/lic,1/24
Spacious 2br With Laundry Near Myrtle-Broadway,,"$3,195",bushwick,1/24
BARGAIN KIPS BAY TRUE 1 BED STUNNER_LNDRY BLDG - GREAT LOCATION/ FIND!,,"$2,595",murray hill,1/24
$1800 1 bedroom apartment for rent,,"$1,800",bronx,1/24
1 and 2 Bedroom Apartments Available (NO BROKERS FEE),,"$1,600",yonkers,1/24
