title,bedrooms,price,location,post_time
2br - 4 1/2 ROOM LARGE APT. BRIGHT & SPACIOUS,,"$2,100","ridgewood, queens",2/5
Furnished apartment in beautiful house in residential neighborhood,,"$1,200",ossining,2/5
Giant 5.5/6bed 2bath duplex w/ private deck+a/c+dishwasher+w/d in unit,,"$4,500",bushwick @ wilson l + halsey j,2/5
Brand new 2 bedroom. Hasa welcome,,"$2,388",brooklyn,2/5
LARGE NEW 3 BEDROOM 2 BATHROOMS. HASA WELCOME,,"$3,200",bronx,2/5
MASSIVE 3 BEDROOM 1 BATH** LAUNDRY IN UNIT**NO FEE,,"$2,800",flatbush,2/5
BRAND NEW 2 Bed 1.5 Bath Laundry in unit NO FEE,,"$3,400",bedstuy,2/5
Spacious 3 bedroom Duplex in Bushwick! NO FEE,,"$3,450",bushwick,2/5
3 Bed 2 Bath GREAT DEAL,,"$2,800",bedstuy,2/5
Sunset Park Renovated 2BR for April 1st Great for Roommates,,"$2,500",sunset park / 50s,2/5
you haven't packed your bags yet?,,"$3,100",financial district,2/5
it doesnt get better than this!,,"$2,700",financial district,2/5
Small Room Minimalist priv no Fee Available Immediate  Hells Kitchen M,,"$1,200",midtown west,2/5
No Fee * Renovated 1 Bed 1 Bath in Astoria *Elevator & Laundry in,,"$2,645",astoria,2/5
😎Swanky pad in prime location😯,,"$1,995",brooklyn (prospect heights/crown heights),2/5
🔥Super Deal🔥 Huge Private Deck/Backyard ✨️NO FEE!!,,"$3,400","prime bushwick right @l,j,z, trains",2/5
Exclusive 1Bedroom,,"$1,400",queens,2/5
"✨️Prime Clinton Hill ☀️Lots of Windows *Central AC & Heat*  NO FEE!,",,"$3,200","clinton hill a, c, s & g trains at franklin or classon aves",2/5
🔥Brand New ☀️Lots Of Windows *Gym *Dishwasher *Parking* NO FEE!!,,"$2,650","kings highway @ n,b,d,q, subways",2/5
Apartamento 3 habitaciónes 2 baños,,"$3,200",ozone park,2/5
"2 BEDROOM APARTMENT RENTAL, GLENDALE. $2,000/month",,"$2,000",glendale,2/5
Beautiful Renovated 1 Bed 1 Bath Briarwood *Near E & F Trains,,"$2,255",briarwood,2/5
2 bedroom apartment,,"$2,450",glendale,2/5
Spacious 1 BR in Ditmas Park/Prospect Park South.,,"$1,900",ditmas park,2/5
Exclusive Deck C Slope Bstone 1BR + Eat in Kitchen Includes All Utilit,,"$3,300",center slope / park slope,2/5
Apt for Rent 3 Bedroom 1 Bath,,"$3,100",bronx ny,2/5
"In ""Pelham Bay"" area,large 3 bed apt,quiet area!",,"$2,700",colonial av(pelham bay),2/5
Large studio apartment all inclusive!,,"$1,350",kingsland av(pelham gardens),2/5
"Large 2 bedrooms apt,quiet area,utilites included!",,"$1,700",pelham gardens(astor av),2/5
**Bright under renovation spacious 2BR or 3BR!W shared outdoor space*,,"$2,600",crown hts,2/5
Gorgeous ( 2 Bed ) Duplex W/ Roof Deck ! Easy Access to A/C/J/L Train,,"$2,250",east ny / bushwick / ocean hill / bedford stuyvesant,2/5
Updated 2BR/2.5BA Unit! W/ALL UTILITIES INCLUDED**Laundry in building!,,"$3,299",crown hts,2/5
Spacious Two Room Studio in the heart of Prospect Heights!,,"$1,999",prospect hts,2/5
Bonito Y Comodo (2 Habitaciones) Cerca de Trenes y Buses !! Listo Hoy,,"$2,200",ozone park / howard beach / woodhaven / crossbay,2/5
CORNER WINDOWS * DISHWASHER * CAR PAKING * ELEVATOR * ROOFTOP * GYM *,,"$2,650","n, q, w & d trains * borough park *",2/5
PENTHOUSE DUPLEX W PRIVATE DECK * CENTRAL A/C *,,"$3,000",2 3 4 5 &trains * crown-heights,2/5
"NO FEE ~ Huge 3 Bed, 2 Bath Duplex ~ Washer/Dryer, Large Patio!!",,"$5,495",east village,2/5
A spacious 1 bed apartment in FLUSHING!,,"$1,850",queens,2/5
CORNER WINDOWS * EACH ROOM W ITS OWN BATHROOM * CENTRAL AIR & HEAT *,,"$3,250",2 & 5 trains * east flatbush,2/5
A spacious STUDIO apartment in FLUSHING!,,"$1,625",queens,2/5
"NO FEE ~ 3 Bed, 2 Bath Duplex ~ Washer/Dryer, Private Patio!!",,"$5,795",gramercy,2/5
1 bedroom apt,,"$1,300",south beach,2/5
Two Bedroom Flex Available for Rent at Manhattan Place Building!,,"$4,000",murray hill,2/5
HUGE 3 BEDROOM FREE UTILITIES/FREE WIFI AND CABLE,,"$5,550",east village,2/5
HUGE 2 BED FREE UTILITIES/FREE CABLE AND WIFI SEE FLOORPLAN,,"$4,350",east village,2/5
"Williamsburg Duplex off the L train, Laundry Dishwasher",,"$3,738",williamsburg,2/5
BALCONY * KITCHEN W ISLAND & DISHWASHER * LAUNDRY & ROOFTOP!,,"$3,200",bushwick @j m z & l; trains,2/5
@#$$& OMG!!...Whole..3 bedrooms...finished basement with 1 bedroom,,"$3,499",flatbush area whole house for rent,2/5
Massive 3BR w/ Washer & Dryer Top Floor Elevator Bldg By Franklin Ave,,"$3,450",crown heights / franklin ave,2/5
NEWLY RENOVATED 1 bedroom apartment in STATEN ISLAND,,"$1,650",staten island,2/5
A SPACIOUS 2 bedroom in Staten Island!,,"$2,125",staten island,2/5
LARGE 1 bed apartment in Brooklyn!,,"$1,950","brooklyn, ny",2/5
SPACIOUS studio apartment in Brooklyn!,,"$1,550","brooklyn, ny",2/5
Private 2 Room Suite/ Private Bath,,"$1,250",somers/katonah,2/5
1Bed~Renovated~Heat/Hot Water Included~,,"$1,950","dyker heights, brooklyn, d, n subway",2/5
Charming New 2 Bedroom Avail IMMED.  No LVRM.   Roommates OK! -W 46th,,"$2,895",midtown west,2/5
4 BEDROOM 2 FULL BATH SPRINGDALE,,"$3,600",stamford,2/5
PRIME EAST WILLIAMSBURG MORGANTOWN BUSHWICK HUGE SUNNY LOFT SPACE,,"$3,699",brooklyn,2/5
2 Bedroom in Fort Greene,,"$2,950",east northport,2/5
Near NYC Bayonne House 2 Bedroom KingBeds Pet Okay New Appliances No F,,"$1,750","bayonne, jersey city, hoboken, nyc, new york city, manhattan",2/5
"$2,25o 2Bed 1Bath’s w/Rooftop+Elevator+Laundry",,$2,25mins to midtown - new condo building,2/5
"$1,3oo STUDIO ~ UTILITIES INCLUDED",,$1,"roosevelt avenue, main street - flushing",2/5
"$1,4oo STUDIO 1st Floor w/Yard+Driveway - PETS OK!",,$1,near local+express #7 trains ~ no credit? no problem!,2/5
Huge all inclusive STUDIO APARTMENT for rent,,"$1,430",westerleigh,2/5
Charming East Williamsburg 3 Bed with Tasteful Modern Renovation,,"$3,600",new york,2/5
Charming Bushwick 4 Bed 2 Bath Newly Renovated Exposed Brick,,"$4,000",bushwick,2/5
2 and 3 Bedroom Apartments in Yonkers,,"$1,850",yonkers,2/5
"HALF MONTH FEE3BR,NEW QUARTZkit/STAINLESS STEELapp,NEWbathWOODfl,C/AIR",,"$2,550",whitestone near north flushing and bayside,2/5
"ONLY$1000 FEE,1BR near LIRR,NEWkit,NEWbath,HUGEbedroom,WOODfl,AbsentLL",,"$1,750",bayside near north flushing and douglaston,2/5
"HALF MONTH FEE,2BR,YARD,near BAYSIDE LIRR,NEW Kit,1Bath,WOODflr,C/Air",,"$2,000",bayside near douglaston and little neck,2/5
Charming Prime Crown Heights Studio  Exposed Brick,,"$2,000",crown heights,2/5
"HALF MONTH FEE,1BR with YARD/DECK,NEWkit,WOODfl,ALL UTILITIES INCLUDED",,"$2,200",queens village,2/5
Prime Bushwick 3 Bed 2 full Bath with Manhattan Views,,"$3,500",bushwick,2/5
"HALF MONTH FEE3BRnearLIRR,Eat-n-Kit,L-ShapeDR/LR,1.5BathWOODfl,BALCONY",,"$2,400",north flushing near bayside and whitestone,2/5
