title,bedrooms,price,location,post_time
LARGE 3 BED | 1.5 BATH | DOORMAN,3br,"$3,750",harlem / morningside,4h ago
1bedroom ample closet space W/D in unit.,1br,"$3,208",prospect heights,4h ago
NO FEE LARGE STUDIO   DOORMAN Stunning Hudson River View!,,"$2,250",harlem / morningside,4h ago
2 Bed / 1.5 Bath Park Slope/Gowanus Just a few min from Whole Food,2br,"$4,650",gowanus,4h ago
LARGE 2 BED | 1 BATH | DOORMAN,2br,"$3,250",harlem / morningside,4h ago
NO FEE LARGE STUDIO   DOORMAN Stunning Hudson River View!,,"$2,275",harlem / morningside,4h ago
"All Amenities Building 2 Bed, Flex 3 beds, 1 Bath, No Fee",2br,"$3,500","bushwick, brooklyn",4h ago
BRAND NEW 1 BED WITH PRIVATE YARD!,2br,"$3,295",brighton beach @ b/q brighton beach,4h ago
ENTIRE HOME - 2 Bed | 1.5 Bath,2br,"$5,500",park slope,4h ago
"Large renovated 2-bedroom, (BB) Howard Beach",2br,"$2,100",howard beach,4h ago
BRAND NEW SPACIOUS ROOM IN PRIME WILLIAMSUBURG,3br,"$1,600",williamsburg,4h ago
Beautiful 3 bed 2 bath avail. 3/1,3br,"$3,120",east harlem,4h ago
MASSIVE 3 BED ON PROSPECT PARK!!,3br,"$2,815",prospect lefferts gardens,4h ago
Cozy Sunny Private Studio Great Location walk to all,,"$1,600",white plains,4h ago
Basic 1 bedroom . Nice area .,1br,"$1,850",midwood @ kingshighway b/q subway,4h ago
"100 John Street,  on 14th floor with city views facing south, No Fee,",,"$3,069",financial district,4h ago
Bridgeview Luxury Residences---Penthouse 1Bed For Rent,1br,"$3,300",astoria,4h ago
NO FEE Luxury Studio with West Exposure & Granite Kitchen in FiDi!,,"$2,954",financial district,4h ago
----MASSIVE LUX 1 BED-----PRIME ASTORIA----ROOF DECK----LAUNDRY,1br,"$3,100",astoria,4h ago
Fabulous 3 Bed /2 Bath Apartment in Bushwick!,3br,"$3,000",bushwick,4h ago
"100 John street, Available Studio/ Home Office FLEX 2 or 3 Bedroom",,"$3,743",financial district,4h ago
"100 John Street, No Brokers Fee, 2 Months Free Rent",1br,"$4,442",financial district,4h ago
Premium New-To-Market Studio on the Waterfront!,,"$3,554",williamsburg,4h ago
NO FEE Luxury Spacious 1 Bed w/ Bright & Massive Living Space in FiDi!,1br,"$4,154",financial district,4h ago
Spacious One Bedroom Flex 2 or 3 bedroom / One Bath features North exp,1br,"$5,271",financial district,4h ago
*LARGE AND SUNNY APARTMENT *RENT STABILIZED *HEAT & HOT WATER INCLUDED,1br,"$1,897",sunset park,4h ago
"Luxury 1 BR(800sf),$2078,Hardwd,W/D,Terr,Dwntwn",1br,"$2,078",stamford,5h ago
HUGE 4 bed 1 bath apt in Flatbush,4br,"$3,200",flatbush,5h ago
Sunkissed 3 bed 1 bath apt in Gowanus March 1 move in,3br,"$4,400",gowanus,5h ago
Spacious 2 bed 2 bath apt in Prime Bedstuy * 1 month free*,2br,"$3,400",bedstuy,5h ago
🔑Pack your bags and move right in to this 💎RAD 4BR / 2BA💎 No Fee!🔑,4br,"$3,600","bed-stuy @ a,c,g trains",5h ago
"1 Bed / 1 Bath Dishwasher, Elevator, Gym, Roof Deck, Laundry, Garage",1br,"$2,950",williamsburg,5h ago
"Huge 3 bed , prime williamsburg , open house today",3br,"$3,800",williamsburg,5h ago
Beautiful 3 bedroom semi box,3br,"$2,600",glendale,5h ago
Large 1 Bed/1 Bath w/ Private Balcony | 1 Block from J Train,1br,"$2,500",bedstuy | bushwick | brooklyn,5h ago
"2Bed/1Bath - AC, Laundry, Roof Access, Dishwasher, Garage",2br,"$3,799",bushwick,5h ago
Large 1 Bed/1 Bath w/ Private Balcony | 1 Block from J Train,1br,"$2,500",bedstuy | bushwick | brooklyn,5h ago
"4 Equal to Size Bedrooms, SKYLIGHTS, 5 Blocks from Dekalb L Train",4br,"$3,650","ridgewood, queens",5h ago
1 bedroom apartment. NO FEE,1br,"$2,995",midtown west,5h ago
"Luxury 1 BR(800sf),$2118,Hardwd,W/D,Terr,Dwntwn",1br,"$2,118",stamford,5h ago
Stellar corner loft in the heart of Bushwick. No fee!,,"$2,950",bushwick,5h ago
**SPACIOUS CROWN HEIGHTS**2.5 BED/1 BATH**PRIVATE TERRACE**,2br,"$2,800",crown heights,5h ago
NO FEE Luxury Fidi Studio w/ South-Facing City Views &Granite Kitchen!,,"$3,069",financial district,5h ago
"1Bed/1Bath - AC, Laundry, Roof access, Dishwasher, Bike Storage",1br,"$2,741",bushwick,5h ago
One bedroom UES $2700,1br,"$2,700",upper east side,5h ago
Fully renovated 3 bedroom in Glendale,3br,"$2,700",ridgewood,5h ago
2 bed 1 bath prime bushwick NO FEE,2br,"$2,900",brooklyn,5h ago
MASSIVE 2 BEDROOM IN CROWNHEIGHTS,2br,"$2,650",crownheights,5h ago
Brand new studio Prime bushwick NO FEE,1br,"$2,860",brooklyn,5h ago
Luxury Apartment in Flatbush,1br,"$2,495",flatbush,5h ago
