title,bedrooms,price,location,post_time
3 BDRM GEM IN SPACIOUS BEDSTUY BROWNSTONE***ASAP MOVE IN*** ACT FAST**,,"$2,995",bedford stuyvesyant,1/26
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,,"$4,400",gowanus,1/26
"$2,8oo 2Bed 1Bath ~ 1st Floor ~ 1000sqr feet",,$2,near local+express #7 trains ~ no credit? no problem!,1/26
"$3,2oo 3Bed 2Bath w/BBQ.Pit+Yard+2.Balconies+Parking PETS OK!",,$3,near r+m+#7 trains- off broadway,1/26
LUXURY 1 BDRM APT AVAILABLE IN WILLIAMSBURG***LOTS OF AMENITIES***,,"$2,995",williamsburg,1/26
"$3,9oo 3Bed 2Bath DUPLEX w/Yard+Deck+Garden+Dishwasher+W/D.Hookups+...",,$3,76th street off northern blvd - jackson heights/east elmhurs,1/26
SURFSIDE OCEANFRONT COTTAGES,,"$2,100",st augustine,1/26
Modern 5 BR/ 3BATH in Washington Heights,,"$4,600",inwood / wash hts,1/26
NO FEE!! Luxury 1 Bedroom Loft in Fidi!,,"$4,200",financial district,1/26
AFFORDABLE 2 BR,,"$1,835",parkchester,1/26
**GORGEOUS 2 BED/1 BATH APT WITH AMENITIES NEAR PROSPECT PARK*NO FEE**,,"$4,375",crown heights,1/26
GREAT APARTMENT FOR FIRST TIME RENTER,,"$1,585",parkchester,1/26
🌟New Studio Apartment in Flatbush $1900! Brooklyn College,,"$1,900",flatbush,1/26
BEAUTIFUL 3 BED 1 BATH IN INCREDIBLE LOCATION!!,,"$3,300",bushwick,1/26
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,,"$2,500",flatbush,1/26
"1 bedroom 1 bath fully renovated Staten Island $1,450",,"$1,450",staten island,1/26
NO FEE!! Luxury 1 Bedroom Penthouse in Historic Seaport District,,"$4,650",financial district,1/26
Deal Alert: True 1BR Apt in Hudson Yards (36th St)+ Exposed Brick,,"$2,450",midtown west,1/26
Private Garden! No stairs! Huge apartment!,,"$2,650",harlem / morningside,1/26
3 bedroom apt for rent,,"$2,800",jamaica,1/26
2 Bedroom 1.5 bath Furnished,,"$2,250",new fairfield,1/26
BREATH TAKING WATER VIEWS+LUXURY HIGH RISE=TOP FLOOR=FREE GYM,,"$3,395",financial district,1/26
Huge-King bedrooms-3 bed 2 bath-Washer-n-unit-nofee/gym/roof/,,"$5,500",crown heights,1/26
unfurnished 3 bedroom seconds to prospect park-  laundry and roof access! NO FEE,,"$2,943",brooklyn,1/26
fresh meadows large 1 bed with balcony elevator/laundry,,"$1,900",fresh meadows,1/26
Apartamento 3 dormitorios 2 baños,,"$2,650",college point,1/26
"Apartment for rent, fully renovated. 3 bedroom 1 bath",,"$3,200",east elmhurst,1/26
"Great Value*True 3 bed & 2 bath, Great natural light, lots of closet s",,"$2,700",crown heights,1/26
"DREAMY 2 BED, LIGHT LIGHT LIGHT, GYM +ROOF",,"$3,200",bed-stuy,1/26
"Crown Heights Renovated 3 Bed 2 Bath, Giant Bedrooms and Livingroom",,"$4,000",crown heughts,1/26
"Brand new 1 bed, 1 bath with parking, gym, rooftop, bike room,",,"$2,900","ridgewood, halsey l, seneca m",1/26
