title,bedrooms,price,location,post_time
Gorgeous sun-filled 3 bed/1 bath apt Prime Flatbush no fee!,,"$2,950",flatbush,1/9
Crown Heights Large & Modern 3 BEDROOM with Balcony!!,,"$3,300",brooklyn,1/9
CORNER UNIT_CITY VIEWS_2 MONTHS FREE!!!!,,"$3,511",financial district,1/9
Flex 2 BEDROOM IN LUXURY BUILDING WITH WATER VIEW - NO FEE !!,,"$3,840",financial district,1/9
TWO BEDROOM IN LUXURY BUILDING WITH WATER VIEW - NO FEE !!,,"$5,450",financial district,1/9
1-3 bedroom apt,,"$1,800",mount vernon new rochelle,1/9
Bright & Spacious 1 Bedroom Duplex,,"$2,800",brooklyn,1/9
24 Hours Doorman | W/D in Unit | Roof Deck | GYM | Pool | Garage,,"$5,100",downtown brooklyn,1/9
3 bedroom apartment Astoria,,"$3,100",queens,1/9
Williamsburg - Large 2 Bedroom - Elevator - Heat / water included,,"$3,300",williamsburg,1/9
2 bedroom apartment Astoria,,"$2,350",queens,1/9
2 bedroom basement apt Astoria,,"$2,350",queens,1/9
3 bedroom  apt Astoria,,"$3,100",queens,1/9
Studio Condo for rent,,"$1,800",sunset park,1/9
One  bedroom apartment in rent stabilized building,,"$1,518",midwood,1/9
PRIME WILLIAMSBURG PRE WAR 2BR SUPER SUNNY AND QUIET AMAZING PRICE!,,"$3,299",brooklyn,1/9
24 Hours Doorman | W/D in Unit | Roof Deck | GYM | Pool | Garage,,"$5,450",downtown brooklyn,1/9
"NO FEE!! LUXURY BUILDING 2 BED, 24/7 DOORMAN, ELEVATOR, WASHER DRYER,",,"$7,760",financial district,1/9
Huge 1BR w/ New Appliances Top Floor Elevator/Laundry Bldg By Park,,"$2,295",prospect park south / flatbush / ditmas park,1/9
Large 3BR 2.5 Baths in East Harlem (123rd St)+Separate Kitchen+DW+ MIC,,"$3,025",east harlem,1/9
"NO FEE!! LUXURY BUILDING 1 BED, 24/7 DOORMAN, ELEVATOR, WASHER DRYER,",,"$4,900",financial district,1/9
"LARGE Private Backyard in Beautiful, Very Large 3 bedroom apartment in Bed-Stuy",,"$3,895",bedford-stuyvesant,1/9
Oversized windows! soaring ceilings!,,"$3,300",financial district,1/9
oversize windows in prime location!,,"$2,900",financial district,1/9
EXTRA LARGE STUDIO  L SHAP EATING KITCHEN FOREST HILLS,,"$1,800",64 av yellowstone blvd forest hills,1/9
ELEVATOR/LAUNDRY BUILDING,,"$1,500",all bronx areas,1/9
24hr Doorman | Roof Deck | W/D in Unit | POOL | GYM | Garage,,"$4,250",downtown brooklyn,1/9
LUXURY BUILDING. 1 BED CAN BE FLEXED INTO 2 BED!! GOOD DEAL!!,,"$4,000",financial district,1/9
NEWLY RENOVATED,,"$1,900",all bronx areas,1/9
HUGE 4 BED 2 BATH w/d in unit NO FEE!,,"$3,200",bedstuy,1/9
3 BEDROOMS/ NEWLY RENOVATED,,"$2,000",all bronx areas,1/9
Beautiful 1BR apartment w/utilities,,"$1,750",yorktown heights,1/9
NO FEE! New 2.5/2Bath with W/D + Private Terrace in Prime Greenwood!,,"$3,650",greenwood,1/9
Luxury studio** City views** No broker fee** LIC luxury rentals,,"$3,275",long island,1/9
"Great Value*True 3 bed & 2 bath, Great natural light, lots of closet s",,"$2,700",crown heights,1/9
3 Bedroom 1 Bath Apartment for Rent,,"$2,500",east norwalk,1/9
24hr Doorman | Roof Deck | Central Air | Pool | GYM | Garage,,"$3,550",downtown brooklyn,1/9
$4500 - Spacious 1Bedroom apartment with great layout,,"$4,500",upper west side,1/9
"**HUGE STUDIOSPACIOUS,WASHER, DRYER , DISHWASHER, STEPS TO TRAIN, NICE",,"$1,650",prospect park lefferts gardens,1/9
3 BEDROOMS AVAILABLE!!!,,"$2,600",brooklyn,1/9
Renovated 2bed/2bath ** private balcony** in unit washer/dryer ** LIC,,"$5,295",long island,1/9
Huge & Spacious 2 Bed 1 Bath Apt,,"$2,529",bushwick,1/9
2 Bath Open Layout/Modern Kitchen,,"$2,500","lindenwood, queens",1/9
BEAUTIFUL 2 BED || TONS OF NATURAL LIGHT,,"$2,500",crown heights,1/9
2 BEDROOM 1 BATH,,"$3,500",clinton hill,1/9
24hr Doorman | Roof Deck | Central Air | Pool | GYM| Garage,,"$3,250",downtown brooklyn,1/9
** LUXURY STUDIO ** GYM ** ROOFTOP ** PARKING **,,"$2,426",astoria,1/9
Gorgeous 4 Bed /1.5 Bath Duplex Apartment with PRIVATE BACKYARD!,,"$3,800",crown heights,1/9
Huge 1 Bedroom with Laundry in building close to Prospect Park!,,"$2,295",prospect park south/prospectpark,1/9
GORGEOUS NEW 2 BED WITH LAUNDRY IN THE UNIT!! large living room,,"$2,500",flatbush,1/9
MODERN 4 BED FLAT IN PRIME RIDGEWOOD!! Gorgeous unit with skylights!,,"$3,675",ridgewood,1/9
TWO BED DUPLEX WITH BACKYARD! February 1 move-in!,,"$3,100",bushwick,1/9
CHEAP THREE BED FLAT -  AVAILABLE NOW😳😳,,"$2,550",ocean hill,1/9
BRAND NEW 3 BEDROOM -2 BATHROOMS- HASA CITYFHEPS WELCOME,,"$3,200",bronx,1/9
"No Fee. High Floor, Balcony,1100 Sq. ft., Luxury quality rental*High q",,"$4,200",financial district,1/9
$4000 - Gorgeous 1Br Apartment by Lincoln Square and UWS,,"$4,000",upper west side,1/9
Spacious 2 Bedroom in Prime Prospect Heights!,,"$3,000",prospect heights/prospect park,1/9
"Sun Filled Apartment for Rent, 4 Bedrooms, 2023 (1119J #2)",,"$3,107",brooklyn,1/9
"Brooklyn Apartment Ready February, 2023 (1119J #1)",,"$2,979",brooklyn,1/9
"3 Bed, 2 Bath Williamsburg Apartment with Private Backyard",,"$4,945",brooklyn,1/9
"3 Bed, Bright Sunny Apartment with Big Balcony, Williamsburg (451K #2)",,"$4,875",williamsburg,1/9
NO FEE | 24 Hours Doorman | Washer/Dryer in Unit | Roof Deck | GYM,,"$2,950",flatbush,1/9
No Fee! Apartment Like No other with everything desired surrounding!11,,"$6,395",fort greene,1/9
CROWN HEIGHTS LUXURY 1 BED WITH OFFICE,,"$2,800",brooklyn,1/9
Beautiful 3bedroom apt at throngs neck Bronx ny,,"$2,400",throngs neck,1/9
"UNICORN!!! Brownstone 6 bed, Private Entrance, Roof-deck!!",,"$5,950",bed-stuy,1/9
🌟Awesome 3 bed 2 bath in Prime Bushwick! $3500!,,"$3,500",bushwick,1/9
Luxury 1 Bedroom in Luxury Building,,"$3,400",midtown east,1/9
$3400 - Renovated 2bedroom apartment on the Upper West Side,,"$3,400",upper west side,1/9
Beautiful 3 Bed /1 Bath Apartment!,,"$2,500",crown heights,1/9
GORGEOUS LARGE 3 BED 2 FULL BATH IN GREAT RIDGEWOOD LOCATION!,,"$3,200",ridgewood,1/9
Luxury 1BR Apt Near MSG & Hudson Yards,,"$3,850",midtown west,1/9
LIC Luxury-Elevator-Lots of Light-Backyard-Manhattan Views,,"$3,200",queens,1/9
1 Block to Domino Park-W/D in Unit-Free Month,,"$4,669",brooklyn,1/9
3 Bed 2 Bath// W/d in bdlg***NO FEE**,,"$3,000",ridgewood,1/9
🌟 Massive 3 Bedroom Apartment! Prospect Park! King sized room! $2950,,"$2,950",brooklyn,1/9
🌟 Awesome 2 Bedroom Apartment located in Bedstuy! $2400,,"$2,400",bedstuy,1/9
🌟Massive Crown Heights 3 bed 2 bath! $3250!,,"$3,250",crown heights,1/9
🌟 Huge Bedstuy 3 Bedroom! $3000,,"$3,000",bedstuy,1/9
🌟 Stunning 1 Bedroom apartment W/D in-Unit! $2200,,"$2,200",flatbush,1/9
"Beautiful, Sunny 2 bedroom/ 1 bathroom apartment available in Prospect",,"$2,350",prospect lefferts gardens,1/9
"CHARMING STUDIO APT IN BESTUY, AMAZING DEAL!!",,"$1,650",bedstuy,1/9
Beautiful sunlit 1 Bedroom apartment available in Prospect Lefferts Ga,,"$2,299",prospect lefferts gardens,1/9
1.5 Bed / 1.5 Bath Duplex w/ Outdoor Space in NEW Luxury Building!,,"$3,111",heart of bedstuy! short walk from the j/z/a & c train lines.,1/9
Gorgeous 4 Bed 1.5 Bath w/ Laundry available in Bushwick,,"$3,483","bushwick, short walk from the halsey j, and myrtle-wycoff l/",1/9
2 Bed (3 flex)2 Bath PENTHOUSE in Luxury Building in Bedstuy!,,"$4,495",heart of bedstuy! short walk from the j/z/a & c train lines.,1/9
MASSIVE 2 Bed w/ Balcony in NEW Luxury Building!,,"$3,650",heart of bedstuy! short walk from the j/z/a & c train lines.,1/9
"Beautiful, modern 2 Bedroom apartment full of light located in the hea",,"$2,499",bedstuy,1/9
Two Bedroom Unit by Old Mill basin,,"$2,200",brooklyn,1/9
Apt For Rent  3 BR - 4 BR  Assurance,,"$2,500",yonkers nodine hill,1/9
"STUNNING 3BR APT IN LUX BLDG IN EAST WILLIAMSBURG, L, JMZ TRAINS!",,"$3,999",east williamsburg,1/9
3 Bedroom House For Rent,,"$3,500",yorktown,1/9
"1 BED+ Home Office: Virtual Doorman, Laundry, Elevator",,"$3,500",financial district,1/9
Midtown Large True 2 BED W 55th - Prewar Elevator Bldg w/ Laundry,,"$4,925",midtown,1/9
2 Bed Near City College & A/D/B/C/1 Trains!,,"$2,100",harlem / morningside,1/9
NO FEE LUXURY 1 BEDROOM WITH BALCONY,,"$4,400",financial district,1/9
Your Own Paradise with Luxury,,"$3,000",battery park,1/9
Spacious 4 bed 2 bath apt in Bushwick,,"$4,200",bushwick,1/9
Basement studio,,"$1,100",bellerose,1/9
A spacious 2 BEDROOM apartment in FLUSHING!,,"$2,450",queens,1/9
A beautiful 2 bedroom in Astoria (W/ Stainless Steel appliances!),,"$2,650","astoria, queens",1/9
Furnished Apt close to ferry,,"$1,450",staten island ny,1/9
Apartment For Rentals. Alquiler Renta,,"$1,950",yonkers,1/9
A spacious TRUE 2 bedroom apartment in Astoria,,"$2,650",astoria,1/9
Spacious 1 bedroom apartment in ASTORIA,,"$2,300","astoria, queens",1/9
